worker_ID,head width (mm),task,painted,,,,,
KFSC23W2,1.609,HC,Y,Formica obscuriventris,,,,
KFSC23W3,1.429,HC,Y,,"obscuriventris, neoclara, rufa sp. 1, dakotensis, rufa sp. 2, glacialis, neorufibaris, podzolica, aserva, ulkei",,,
KFSC23W4,1.714,HC,Y,,,,,
KFSC23W5,1.256,HC,Y,,head width and caste,,,
KFSC23W6,1.494,HC,Y,,,,,
KFSC23W7,1.665,HC,Y,,10 formica species. ,,,
KFSC23W8,1.862,HC,Y,,,,,
KFSC23W9,1.522,HC,Y,,is the relationship between head size and task the same in different species. ,,,
KFSC23W12,1.894,NB,Y,,,,,
KFSC23W13,1.794,NB,Y,,,,,
KFSC23W14,1.678,NB,Y,,"PLOC, GLAC, CMOC, SYLC, GLAC, CMOC, PLOC, WASC, EXSC, BLAC, KFSC, NHIC, SYLC, NHIC, SYLC, BLAC, SYLC, BLAC, KFSC, ",,,
KFSC23W15,1.796,NB,Y,,,,,
KFSC23W16,1.711,NB,Y,,2 PLOC,Find species that these id's belong to and make graph for these values. ,,
KFSC23W17,1.794,NB,Y,,2 GLAC,,,
KFSC23W18,1.79,NB,Y,,2 CMOC,,,
KFSC23W19,1.823,NB,Y,,4 SYLC,,,is there a correlation between smaller head widths and certain task assignments in different species. 
KFSC23W25,1.963,PF,Y,,1 WASC,,,honey collector = smaller head sizes. What is correlation between species??
KFSC23W52,1.947,PF,N,,1 EXSC,,,need to find correlation of smaller heads to HC task in each species and compare it to correlation of sizes to other tasks. Then need to compare the correlations between species?
KFSC23W53,1.79,PF,N,,3 BLAC,,,
KFSC23W54,1.933,PF,N,,2 KFSC,,,
KFSC23W55,1.966,PF,N,,2 NHIC,,,
KFSC23W56,1.966,PF,N,,,,,
KFSC23W57,1.693,PF,N,,,,,
KFSC23W58,1.816,PF,N,,NB - ulkei- 1.49,,,
,,,,,,,,
KFSC24W2,1.453,HC,0,obscuriventris,HC-rufa sp. 2-1.27,,,
KFSC24W3,1.286,HC,Y,,,,,
KFSC24W4,1.831,HC,Y,,,,,
KFSC24W5,1.328,HC,Y,,,,,
KFSC24W6,1.326,HC,Y,,,,,
KFSC24W7,1.369,HC,Y,,,,,
KFSC24W8,1.671,HC,Y,,,,,
KFSC24W9,1.139,HC,Y,,,,,
KFSC24W10,1.399,HC,Y,,,,,
KFSC24W11,1.214,HC,Y,,,,,
KFSC24W12,1.947,NB,Y,,,,,
KFSC24W13,1.839,NB,Y,,,,,
KFSC24W14,1.822,NB,Y,,,,,
KFSC24W15,1.498,NB,Y,,,,,
KFSC24W16,1.563,NB,Y,,,,,
KFSC24W17,1.949,NB,Y,,,,,
KFSC24W18,1.655,NB,Y,,,,,
KFSC24W19,1.739,NB,N,,,,,
KFSC24W20,1.843,PF,N,,,,,
KFSC24W21,1.808,PF,N,,,,,
KFSC24W22,1.761,PF,N,,,,,
KFSC24W23,1.831,PF,N,,,,,
KFSC24W24,1.744,PF,N,,,,,
KFSC24W25,1.861,PF,N,,,,,
KFSC24W26,1.865,PF,N,,,,,
KFSC24W27,1.857,PF,N,,,,,
,,,,,,,,
KFSC18W2,1.36,HC,Y,obscuriventris,,,,
KFSC18W3,1.148,HC,Y,,,,,
KFSC18W4,1.163,HC,Y,,,,,
KFSC18W5,1.2,HC,Y,,,,,
KFSC18W6,1.187,HC,Y,,,,,
KFSC18W7,1.03,HC,Y,,,,,
KFSC18W8,1.174,HC,Y,,,,,
KFSC18W9,1.013,HC,Y,,,,,
KFSC18W10,1.61,NB,Y,,,,,
KFSC18W11,1.453,NB,Y,,,,,
KFSC18W12,1.375,NB,Y,,,,,
KFSC18W13,1.614,NB,Y,,,,,
KFSC18W14,1.594,NB,Y,,,,,
KFSC18W15,1.64,NB,N,,,,,
KFSC18W16,1.729,NB,N,,,,,
KFSC18W17,1.489,NB,N,,,,,
KFSC18W18,1.45,PF,Y,,,,,
KFSC18W19,1.733,PF,Y,,,,,
KFSC18W20,1.854,PF,N,,,,,
KFSC18W21,1.61,PF,N,,,,,
KFSC18W22,1.712,PF,N,,,,,
KFSC18W23,1.641,PF,N,,,,,
KFSC18W24,1.686,PF,N,,,,,
KFSC18W25,1.487,PF,N,,,,,
,,,,,,,,
BLAC5W2,1.724,HC,Y,obscuriventris,,,,
