Worker,Colony,Worker,Species,Task,Femur,Tibia,Thorax,Scape,Head Width,Head Height,Log_Femur,Log_HW ,Log_Tibia,Log_Scape,Log_HH,Log_Thorax,Group
CMOC2W2,CMOC2,2,Formica aserva,HC,1.529,1.644,1.955,1.399,1.262,1.412,0.184407485,0.101059355,0.215901813,0.145817714,0.149834697,0.291146762,Mound-building
CMOC2W3,CMOC2,3,Formica aserva,HC,1.43,1.433,1.976,1.278,1.157,1.318,0.155336037,0.063333359,0.15624619,0.106530854,0.11991541,0.29578694,Mound-building
CMOC2W4,CMOC2,4,Formica aserva,HC,1.461,1.451,1.886,1.269,1.162,1.283,0.164650216,0.065206128,0.161667412,0.103461622,0.108226656,0.275541688,Mound-building
CMOC2W5,CMOC2,5,Formica aserva,HC,1.884,1.781,2.181,1.604,1.515,1.636,0.275080898,0.180412633,0.250663919,0.205204364,0.213783299,0.338655666,Mound-building
CMOC2W6,CMOC2,6,Formica aserva,HC,1.69,1.732,2.158,1.474,1.359,1.508,0.227886705,0.133219457,0.238547888,0.168497484,0.178401342,0.33405144,Mound-building
CMOC2W10,CMOC2,10,Formica aserva,NB,2.094,2.143,2.764,1.79,1.741,1.913,0.320976677,0.240798771,0.331022171,0.252853031,0.28171497,0.441538039,Mound-building
CMOC2W11,CMOC2,11,Formica aserva,NB,2.049,2.001,2.607,1.787,1.72,1.821,0.311541958,0.235528447,0.301247089,0.252124553,0.260309946,0.416141031,Mound-building
CMOC2W12,CMOC2,12,Formica aserva,NB,2.348,2.361,2.889,1.917,1.947,2.04,0.370698093,0.289365952,0.373095987,0.282622113,0.309630167,0.460747542,Mound-building
CMOC2W13,CMOC2,13,Formica aserva,NB,1.819,1.957,2.381,1.586,1.489,1.684,0.259832699,0.172894698,0.291590826,0.200303183,0.226342087,0.376759395,Mound-building
CMOC2W14,CMOC2,14,Formica aserva,NB,1.839,1.819,2.51,1.571,1.52,1.645,0.264581729,0.181843588,0.259832699,0.196176185,0.216165902,0.399673721,Mound-building
CMOC2W19,CMOC2,19,Formica aserva,PF,1.905,1.933,2.44,1.614,1.521,1.693,0.27989498,0.182129214,0.286231854,0.20790353,0.228656958,0.387389826,Mound-building
CMOC2W20,CMOC2,20,Formica aserva,PF,1.859,1.962,2.486,1.65,1.549,1.724,0.26927939,0.190051418,0.292699003,0.217483944,0.236537261,0.395501124,Mound-building
CMOC2W21,CMOC2,21,Formica aserva,PF,2.201,2.241,2.653,1.819,1.862,1.848,0.342620043,0.269979677,0.350441857,0.259832699,0.266701967,0.42373725,Mound-building
CMOC2W22,CMOC2,22,Formica aserva,PF,2.319,2.312,2.835,1.73,1.956,2.038,0.365300749,0.29136885,0.36398783,0.238046103,0.30920418,0.452553063,Mound-building
CMOC2W23,CMOC2,23,Formica aserva,PF,2.241,2.246,2.816,1.813,1.885,1.937,0.350441857,0.275311355,0.351409752,0.258397804,0.287129621,0.44963265,Mound-building
SYLC11W3,SYLC11,3,Formica aserva,HC,1.328,1.241,1.72,1.16,1.091,1.211,0.123198075,0.037824751,0.093771781,0.064457989,0.083144143,0.235528447,Mound-building
SYLC11W4,SYLC11,4,Formica aserva,HC,1.561,1.538,2.007,1.378,1.339,1.431,0.193402903,0.126780577,0.186956335,0.139249218,0.155639634,0.302547372,Mound-building
SYLC11W5,SYLC11,5,Formica aserva,HC,1.677,1.682,2.236,1.495,1.44,1.561,0.224533063,0.158362492,0.225825991,0.174641193,0.193402903,0.349471799,Mound-building
SYLC11W6,SYLC11,6,Formica aserva,HC,1.558,1.627,2.117,1.398,1.383,1.489,0.192567453,0.14082218,0.211387553,0.145507171,0.172894698,0.325720858,Mound-building
SYLC11W7,SYLC11,7,Formica aserva,HC,1.566,1.574,2.119,1.313,1.415,1.517,0.194791758,0.15075644,0.197004728,0.118264726,0.180985581,0.326130957,Mound-building
SYLC11W12,SYLC11,12,Formica aserva,NB,2.226,2.214,2.962,1.744,1.959,2.029,0.34752516,0.292034436,0.345177617,0.241546481,0.307282047,0.471585054,Mound-building
SYLC11W13,SYLC11,13,Formica aserva,NB,2.06,1.979,2.797,1.695,1.923,1.936,0.31386722,0.283979284,0.296445794,0.229169703,0.286905353,0.446692466,Mound-building
SYLC11W14,SYLC11,14,Formica aserva,NB,2.025,2.072,2.708,1.699,1.872,1.947,0.306425028,0.272305844,0.316389751,0.230193379,0.289365952,0.43264866,Mound-building
SYLC11W15,SYLC11,15,Formica aserva,NB,1.837,1.729,2.245,1.474,1.527,1.619,0.264109156,0.183839037,0.237794993,0.168497484,0.209246849,0.351216345,Mound-building
SYLC11W16,SYLC11,16,Formica aserva,NB,1.877,1.86,2.407,1.547,1.626,1.764,0.273464273,0.211120541,0.269512944,0.189490314,0.246498581,0.38147609,Mound-building
SYLC11W17,SYLC11,17,Formica aserva,PF,2.126,2.198,2.813,1.705,1.985,1.973,0.32756326,0.297760511,0.342027688,0.231724383,0.295127085,0.449169732,Mound-building
SYLC11W18,SYLC11,18,Formica aserva,PF,1.876,1.834,2.471,1.552,1.648,1.761,0.273232834,0.216957207,0.263399331,0.190891717,0.245759356,0.392872745,Mound-building
